"PROGRAMA_ORIGEN";"PROGRAMA_USADO"
"AEAT_CUENTAS";"CUENTAS"
"A_EFABOT";"A_MALMAC"
"A_EFABOT";"A_MSITST"
"A_EFABOT";"A_MZONAL"
"A_EINTER";"A_MPRESE"
"A_EINTER";"A_MSEGME"
"A_EINTER";"CARASIEN"
"A_EINTER";"A_MPRESE"
"A_EINTER";"A_MPRESE"
"A_EINTER";"A_MALMAC"
"A_EINTER";"A_MALMAC"
"A_EINTER";"A_MVAPRO"
"A_EINTER";"A_MSITST"
"A_EINTER";"A_MZONAL"
"A_EINTER";"A_MCODMO"
"A_EINTER";"A_MCODMO"
"A_EINTER";"A_MCODMO"
"A_EINTER";"P_MORDFA"
"A_EINTER";"P_MORDFA"
"A_EINTER";"P_MORDFA"
"A_EINTER";"P_MPLANP"
"A_EINTER";"P_MPLANP"
"A_EINTER";"PROVEED"
"A_EINTER";"A_MARTIC"
"A_EINTER";"DIVISAS"
"A_EINVIN";"A_MALMAC"
"A_EINVIN";"DIVISAS"
"A_EINVIN";"CARASIEN"
"A_EINVIN";"A_MSITST"
"A_EINVIN";"A_MARTIC"
"A_EINVIN";"A_MCODMO"
"A_EINVIN";"A_MPRESE"
"A_EINVIN";"A_MZONAL"
"A_EIORFA";"A_MARTIC"
"A_EIORFA";"CARASIEN"
"A_EIORFA";"A_MCODMO"
"A_EIORFA";"A_MCODMO"
"A_EIORFA";"A_MZONAL"
"A_EIORFA";"A_MZONAL"
"A_EIORFA";"A_MPRESE"
"A_EIORFA";"A_MALMAC"
"A_EIORFA";"A_MCODMO"
"A_EIORFA";"A_MSITST"
"A_EIORFA";"A_MSITST"
"A_EIORFA";"P_MPLANP"
"A_ENCOM";"PROVEED"
"A_ENCOM";"PROVEED"
"A_ENCOM";"CLIENTES"
"A_ENCOM";"CLIENTES"
"A_ENCOM";"CLIENTES"
"A_ENCOM";"CLIENTES"
"A_ENCOM";"A_MALMAC"
"A_ENCOM";"C_EXPIMP"
"A_ENCOM";"M_SEGUCAM"
"A_ENCOM";"A_MALMAC"
"A_ENCOM";"A_MALMAC"
"A_ENCOM";"A_MALMAC"
"A_ENCOM";"A_MSEGME"
"A_ENCOM";"C_DOMENP"
"A_ENCOM";"A_MPRESE"
"A_ENCOM";"A_MPRESE"
"A_ENCOM";"A_MPRESE"
"A_ENCOM";"CARASIEN"
"A_ENCOM";"DIVISAS"
"A_ENCOM";"DIVISAS"
"A_ENCOM";"DIVISAS"
"A_ENCOM";"LOTES"
"A_ENCOM";"TIPIMENT"
"A_ENCOM";"A_MTIPCA"
"A_ENCOM";"A_MARTIC"
"A_ENCOM";"A_MARTIC"
"A_ENCOM";"PRC_GDESCOM"
"A_ENCOM";"PRC_GDESCOM"
"A_ENCOM";"PRC_TIPOCOSTES"
"A_ENCOM";"PRC_TIPOCOSTES"
"A_ENCOM";"PRC_TIPOCOSTES"
"A_ENCOM";"AGENTES"
"A_ENCOM";"BANCOS"
"A_ENCOM";"DEPARTAMENTOS"
"A_ENCOM";"C_DOMENT"
"A_ENCOM";"C_MORCMP"
"A_ENCOM";"PROVEED"
"A_ENCOM";"P_MPLANP"
"A_ENCOM";"P_MPLANP"
"A_ENCOM";"A_MVAPRO"
"A_ENCOM";"FORMASCP"
"A_ENCOM";"C_MALTPD"
"A_ENCOM";"C_MALTPD"
"A_ENCOM";"C_MALTPD"
"A_ENCOM";"C_MALTPD"
"A_ENCOM";"A_MVAPRO"
"A_ENCOM";"ESTAPROV"
"A_ENCOM";"P_MORDFA"
"A_ENCOM";"P_MORDFA"
"A_ENCOM";"C_TIPPED"
"A_ENCOM";"C_PUTOP"
"A_ENCOM";"ESTAPROV"
"A_ENCOM";"A_MCODMO"
"A_ENCOM";"A_MCODMO"
"A_ENCOM";"A_MCODMO"
"A_ENCOM";"P_MORDFA"
"A_ENCOM";"F_MATRIC"
"A_ENCOM";"A_MZONAL"
"A_ENCOM";"A_MSITST"
"A_ENTOT";"L_MDECIS"
"A_ENTOT";"ESTAPROV"
"A_ENTOT";"ESTAPROV"
"A_ENTOT";"FORMASCP"
"A_ENTOT";"U_MLISVA"
"A_ENTOT";"VH_TIPOENV"
"A_ENTOT";"P_MPLANP"
"A_ENTOT";"DOMENVIO"
"A_ENTOT";"AGENTES"
"A_ENTOT";"VHMTGURG"
"A_ENTOT";"VHCESTOT"
"A_ENTOT";"P_MMETOD"
"A_ENTOT";"VHMANREV"
"A_ENTOT";"VHMANREV"
"A_ENTOT";"VHCTOCTE"
"A_ENTOT";"VHUNIMED"
"A_ENTOT";"A_MCOESA"
"A_ENTOT";"A_MCOESA"
"A_ENTOT";"A_MCOESA"
"A_ENTOT";"A_MARTIC"
"A_ENTOT";"USUARIOS2"
"A_ENTOT";"DIVISAS"
"A_ENTOT";"CARASIEN"
"A_ENTOT";"DOMPCLIE"
"A_ENTOT";"C_EXPIMP"
"A_ENTOT";"VHMTALLER"
"A_ENTOT";"VHMTALLER"
"A_ENTOT";"P_MTRABA"
"A_ENTOT";"P_MTRABA"
"A_ENTOT";"CLIENTES"
"A_ENTOT";"A_MALMAC"
"A_ENTOT";"VHMARTIC"
"A_ENTOT";"ZONAS"
"A_EOFDES";"LOTES"
"A_EOFDES";"PROVEED"
"A_EOFDES";"A_MCODMO"
"A_EOFDES";"CARASIEN"
"A_EOFDES";"A_MCODMO"
"A_EOFDES";"A_MPRESE"
"A_EOFDES";"A_MPRESE"
"A_EOFDES";"P_MPLANP"
"A_EOFDES";"A_MALMAC"
"A_EOFDES";"LOTES"
"A_EOFDES";"A_MSITST"
"A_EOFDES";"A_MZONAL"
"A_EOFDES";"CLIENTES"
"A_EOFDES";"A_MALMAC"
"A_EOFDES";"A_MSITST"
"A_EOFDES";"A_MZONAL"
"A_EOFDES";"A_MARTIC"
"A_EOFDES";"A_MARTIC"
"A_EOFDES";"CLIENTES"
"A_ESTPTOEM";"MGRUPCEN"
"A_ESTPTOEM";"ESTAPROV"
"A_ESTPTOEM";"ESTAPROV"
"A_ESTPTOEM";"A_MCONTA"
"A_FACTUPRES";"A_MCODMO"
"A_FACTUPRES";"F_MTIPED"
"A_FACTUPRES";"F_MTIPED"
"A_FACTUPRES";"F_MTIPED"
"AFIP_AGENTES_GB";"ESTAPROV"
"AFIP_AGENTES_GB";"MGRUPCEN"
"AFIP_AGENTES_GB";"ESTAPROV"
"AFIP_AGENTES_GB";"ESTAPROV"
"AFIP_AGENTES_GB";"ESTAPROV"
"AFIP_AGENTES_GB";"EMPRESAS"
"AFIP_AGENTES_GB";"MGRUPCEN"
"AFIP_COEFICIENTES_CM";"ESTAPROV"
"AFIP_COND";"ESTAPROV"
"AFIP_COND";"PROVEED"
"AFIP_COND";"ESTAPROV"
"AFIP_IMP_PERCEPCION";"ESTAPROV"
"AFIP_IMP_PERCEPCION";"ESTAPROV"
"AFIP_IMPUESTOS";"PERIODOS"
"AFIP_IMPUESTOS";"PERIODOS"
"AFIP_IMPUESTOS";"TIPOSPRO"
"AFIP_IMPUESTOS";"TIPOSPRO"
"AFIP_IMPUESTOS";"TIPOSCLI"
"AFIP_IMPUESTOS";"MGRUPCEN"
"AFIP_IMPUESTOS";"PROVEED"
"AFIP_IMPUESTOS";"ESTAPROV"
"AFIP_IMPUESTOS";"MODELO_DECLARACION"
"AFIP_NUM_INSCRIPCION_IB";"ESTAPROV"
"AFIP_NUM_INSCRIPCION_IB";"ESTAPROV"
"AFIP_PARAM";"ESTAPROV"
"AFIP_PARAM";"MODELO_DECLARACION"
"AFIP_PARAM";"ESTAPROV"
"AFIP_PARAM";"ESTAPROV"
"AFIP_PARAM";"ESTAPROV"
"AFIP_PARAM";"ESTAPROV"
"AFIP_PARAM";"CONTADOR"
"AFIP_PARAM";"CONTADOR"
"AFIP_PARAM";"ESTAPROV"
"AFIP_PARAM_PROVINCIA";"ESTAPROV"
"AFIP_PARAM_PROVINCIA";"ESTAPROV"
"AFIP_PROVREG";"PROVEED"
"AFIP_REPROWEB";"MGRUPCEN"
"AFIP_REPROWEB";"ESTAPROV"
"AFIP_REPROWEB";"PROVEED"
"AFIP_REPROWEB";"TIPOSPRO"
"AFIP_REPROWEB";"CLIENTES"
"AFIP_REPROWEB";"MGRUPCEN"
"AFIP_REPROWEB";"CLIENTES"
"AFIP_REPROWEB";"PROVEED"
"AFIP_REPROWEB";"PROVEED"
"AGART_CLI";"A_MARTIC"
"AGART_CLI";"AGENTES"
"AGART_CLI";"CLIENTES"
"AG_ART_PROV";"PROVEED"
"AG_ART_PROV";"AGENTES"
"AG_ART_PROV";"A_MARTIC"
"AGECCONT";"TIPNIF"
"AGEGRBAL";"TIPNIF"
"AGEGRBAL";"ESTAPROV"
"AGENBANK";"AGENBANK"
"AGENBANK";"AGENBANK"
"AGENCLIE";"CRMCARGOS"
"AGENCLIE";"CRMDEPARTAMENTOS"
"AGENEMPR";"TIPNIF"
"AGENEMPR";"MGRUPCEN"
"AGENPROV";"CRMCARGOS"
"AGENPROV";"CRMDEPARTAMENTOS"
"AGENTCLI";"A_MORCME"
"AGENTCLI";"A_MORCME"
"AGENTCLI";"A_MORCME"
"AGENTCLI";"CLIENTES"
"AGENTCLI";"CLIENTES"
"AGENTCLI";"F_MTIPED"
"AGENTCLI";"ESTAPROV"
"AGENTCLI";"ESTAPROV"
"AGENTCLI";"AGENTES"
"AGENTCLI";"ESTAPROV"
"AGENTCLI";"ESTAPROV"
"AGENTCLI";"AGENTES"
"AGENTCLI";"AGENTES"
"AGENTCLI";"FORMASCP"
"AGENTCLI";"FORMASCP"
"AGENTES";"AGENTES"
"AGENTES";"CLIENTES"
"AGENTES";"CRMEQUIPOS"
"AGENTES";"CARASIEN"
"AGENTES";"USUARIOS2"
"AGENTES";"DIVISAS"
"AGENTES";"TIPNIF"
"AGENTES";"CUENTAS"
"AGENTES";"MGRUPCEN"
